Kabupaten/Kota,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,jml_penduduk,pddk_laki,pddk_pr,luas_hutan,irigasi,nonirigasi,pddk_bekerja,df_air_bersih,NDVI,kelas_ndvi,bulan,tahun,Prediksi_Risiko_Model
Kabupaten Jember,20.88315845303212,29.41835101979443,24.98237671631983,83.36639528512548,322.1212219966218,3.514242740572661,5.197770200001237,180.33052517366824,1.533447525992491,C ,2567718.0,1279947.0,1287771.0,121793.0,141661.5,4999.833333333334,1305101.0,95.4,0.4987353641858651,2,1,2022,2
Kabupaten Jember,21.12153868094749,29.422325754576395,25.15658906616146,83.99105990801256,230.0531365972217,4.234978635507314,5.346039057233432,171.7970924576367,1.529860393375959,C ,2567718.0,1279947.0,1287771.0,121793.0,142597.79166666666,5072.930555555556,1305101.0,95.4,0.3637367723959415,1,2,2022,1
Kabupaten Jember,21.166396334222096,29.697446377212074,25.45395544353756,84.38261570036968,307.6881665154822,4.544733370503646,5.064033385175673,159.1319648093841,1.5203695213081636,C ,2567718.0,1279947.0,1287771.0,121793.0,143534.0833333333,5146.027777777778,1305101.0,95.4,0.2948025985992699,1,3,2022,1
Kabupaten Jember,21.166501250359094,29.814822171013727,25.7172294492734,81.16730269655439,210.9970361461301,5.895830580800408,4.322357720240843,123.93939393939394,1.448480457385244,C ,2567718.0,1279947.0,1287771.0,121793.0,144470.375,5219.125,1305101.0,95.4,0.4566566251721099,2,4,2022,2
Kabupaten Jember,21.652815085298712,29.85620525889758,26.143136470535687,81.93628957878998,216.12727272727275,6.429820412026177,4.892491844672778,109.10921078383252,1.6889888057841778,C ,2567718.0,1279947.0,1287771.0,121793.0,145406.66666666666,5292.222222222223,1305101.0,95.4,0.3867678723207397,1,5,2022,1
Kabupaten Jember,20.96664634229496,29.65927844764408,25.65060974373138,81.91443665859475,195.62727272727287,6.408128747110615,4.631561221235974,129.79940026073305,1.5238871460009216,C ,2567718.0,1279947.0,1287771.0,121793.0,146342.9583333333,5365.319444444445,1305101.0,95.4,0.4753528450417688,2,6,2022,2
Kabupaten Jember,20.5490054970767,29.54563520892007,24.5413311935196,79.19395758030417,57.07272727272733,6.398730439279115,4.798753788434659,136.306332985041,1.7829062353089116,C ,2567718.0,1279947.0,1287771.0,121793.0,147279.25,5438.416666666667,1305101.0,95.4,0.5058408028382056,2,7,2022,2
Kabupaten Jember,20.56674827097004,29.8901819709295,25.29672274937547,77.4101479915433,48.64545454545454,6.58780595797753,4.560146703621463,135.49353119132894,2.057315534826997,C ,2567718.0,1279947.0,1287771.0,121793.0,148215.54166666666,5511.51388888889,1305101.0,95.4,0.3080658603048621,1,8,2022,1
Kabupaten Jember,20.90282256879508,30.65758915438791,26.064062553244707,76.70606060606065,63.54545454545463,6.912031178263045,4.874990363515562,138.088641215845,1.8696965177443927,SW,2567718.0,1279947.0,1287771.0,121793.0,149151.8333333333,5584.611111111111,1305101.0,95.4,0.426187713112061,2,9,2022,1
Kabupaten Jember,20.91011317295764,28.78643870842948,25.48610463107837,85.07663542808486,300.5136188380605,4.079781429212362,4.751061486139009,148.92807396902964,1.4303751063811627,C ,2567718.0,1279947.0,1287771.0,121793.0,150088.125,5657.708333333334,1305101.0,95.4,0.2251911802119788,1,10,2022,1
Kabupaten Jember,21.064709297804978,28.8967738016282,25.28798611141372,84.74049945785742,366.4181818181816,4.03812158263883,4.488194574106313,160.13309439942336,1.2657277162532443,C ,2567718.0,1279947.0,1287771.0,121793.0,151024.41666666666,5730.805555555556,1305101.0,95.4,0.403191600043986,1,11,2022,1
Kabupaten Jember,21.08593142547134,29.49985118495303,25.71931417265425,80.44314072104586,270.4636363636362,5.095549289498987,5.086019180870047,154.17367725458212,1.6145147977441097,C ,2567718.0,1279947.0,1287771.0,121793.0,151960.7083333333,5803.902777777778,1305101.0,95.4,0.4012897010953945,1,12,2022,1
Kabupaten Jombang,22.122673738482234,29.36120458837277,24.957545692200245,88.20226274590475,423.3763885743268,2.9881406450839894,4.564343667168014,196.0379036330324,1.7346207064311616,N ,1253078.0,623414.0,629664.0,26083.0,42011.0,6693.0,630238.0,98.79,0.6113643997524454,2,1,2017,2
Kabupaten Jombang,22.362234017845577,29.081311969332468,24.882265603844065,87.36475941293735,379.7658248643721,3.3911957137420528,5.395942762232414,219.8398068458237,2.1204569578579284,N ,1253078.0,623414.0,629664.0,26083.0,42359.98611111111,6661.777777777777,630238.0,98.79,0.6113643997524454,2,2,2017,2
Kabupaten Jombang,22.05330410257339,29.7432990274247,25.19527401631374,86.73593983543911,304.3705795640048,4.508226297186821,4.091263733160488,176.64376443034607,1.5128239311741862,N ,1253078.0,623414.0,629664.0,26083.0,42708.97222222222,6630.555555555556,630238.0,98.79,0.6113643997524454,2,3,2017,2
Kabupaten Jombang,22.09344864302425,29.98177763205313,25.4580358174261,86.72715538981323,261.23605716597,5.539351326011776,3.954887955506708,162.01514766482418,1.397820178290694,N ,1253078.0,623414.0,629664.0,26083.0,43057.958333333336,6599.333333333333,630238.0,98.79,0.6113643997524454,2,4,2017,2
Kabupaten Jombang,21.93000964206507,30.201920343510988,25.83737625881117,79.97111044645152,88.12727272727275,6.83668202797547,4.29608419997964,132.55515633549888,2.087143134707183,N ,1253078.0,623414.0,629664.0,26083.0,43406.944444444445,6568.111111111111,630238.0,98.79,0.6113643997524454,2,5,2017,2
Kabupaten Jombang,21.617622198859287,29.872818782696616,25.362813472646728,81.0305902128898,95.8997143387297,6.373298605771176,4.577571792644705,86.67362094764489,1.94100576443632,N ,1253078.0,623414.0,629664.0,26083.0,43755.93055555556,6536.888888888889,630238.0,98.79,0.6113643997524454,2,6,2017,2
Kabupaten Jombang,21.08548948237828,29.40495039606085,24.67141366656508,79.29808306730646,29.33301441244871,6.593591640037313,4.611842333918993,131.58340240437548,2.0683972769607,N ,1253078.0,623414.0,629664.0,26083.0,44104.91666666666,6505.666666666667,630238.0,98.79,0.6113643997524454,2,7,2017,2
Kabupaten Jombang,20.8366724875448,29.74041770251705,24.71735668711805,75.08240842437564,0.1716776590728934,8.070350934915066,4.946549159757091,120.117302052786,2.3069762115687364,N ,1253078.0,623414.0,629664.0,26083.0,44453.90277777778,6474.444444444444,630238.0,98.79,0.6113643997524454,2,8,2017,2
Kabupaten Jombang,21.450680170493907,31.24029073510874,25.69830179370175,74.23030303030302,19.082330270413703,7.970330844196151,5.003853778606644,109.73477077736298,2.324849773895957,NE,1253078.0,623414.0,629664.0,26083.0,44802.88888888889,6443.222222222223,630238.0,98.79,0.6113643997524454,2,9,2017,2
Kabupaten Jombang,22.48305789468029,31.38273535666454,26.57113235395848,76.43213903371154,73.99090909090908,7.090115491231966,4.338414545477874,134.21975364140684,1.8450749068607424,N ,1253078.0,623414.0,629664.0,26083.0,45151.875,6412.0,630238.0,98.79,0.6113643997524454,2,10,2017,2
Kabupaten Jombang,22.51433443253373,29.91259161704359,25.56270720402459,84.10344802993853,335.07844374784,3.3671809401650776,3.949283669278662,133.33158911796298,1.4936638127477342,N ,1253078.0,623414.0,629664.0,26083.0,45500.86111111111,6380.777777777777,630238.0,98.79,0.6113643997524454,2,11,2017,2
Kabupaten Jombang,22.462502399313284,29.54166730716529,25.3709550477622,85.43566816584163,406.6861378584336,4.045644792445997,4.327564736069061,182.0627374603426,1.640323333256131,N ,1253078.0,623414.0,629664.0,26083.0,45849.84722222222,6349.555555555556,630238.0,98.79,0.6113643997524454,2,12,2017,2
Kabupaten Jombang,22.34320798136069,29.25024510262584,25.004580444506903,86.63507074548339,359.6363636363641,3.260882187406071,5.137750943425866,199.00949378785737,2.196279812217718,N ,1258618.0,626207.0,632411.0,26083.0,46198.833333333336,6318.333333333333,655270.0,97.35,0.6113643997524454,2,1,2018,2
Kabupaten Jombang,21.748876604814235,29.18210492011116,24.773008041967813,87.29549438623982,373.5779914451193,4.552004613000378,4.406534337171177,195.2696541022776,1.9499073241178333,N ,1258618.0,626207.0,632411.0,26083.0,46547.819444444445,6287.111111111111,655270.0,97.35,0.6113643997524454,2,2,2018,2
Kabupaten Jombang,22.146183660040805,29.602879693643548,25.09842690309322,86.0874588134634,339.5831620660711,4.999099000939607,3.674023563663805,163.97767510656809,1.5220712850413525,N ,1258618.0,626207.0,632411.0,26083.0,46896.80555555556,6255.888888888889,655270.0,97.35,0.6113643997524454,2,3,2018,2
Kabupaten Jombang,22.66045802809157,30.650600349226508,26.236251788190355,80.63457170110493,105.2,7.700406583315506,3.769581685565713,105.4414588122586,1.4572233149002085,E ,1258618.0,626207.0,632411.0,26083.0,47245.79166666666,6224.666666666667,655270.0,97.35,0.5855572618349105,2,4,2018,2
Kabupaten Jombang,22.487078529989628,30.741886079645298,26.00774819715375,78.07458067336,27.6454545454545,7.860961821006501,4.051080947806528,97.78693482774256,1.8799583963921933,N ,1258618.0,626207.0,632411.0,26083.0,47594.77777777778,6193.444444444444,655270.0,97.35,0.5588898859867912,2,5,2018,2
Kabupaten Jombang,21.8764688167876,30.153731017708,25.286984830501577,79.894981738268,42.36870924413429,7.10898699114093,4.279375604697267,112.67689988633038,1.8346900471972063,N ,1258618.0,626207.0,632411.0,26083.0,47943.76388888889,6162.222222222223,655270.0,97.35,0.5330827480692564,2,6,2018,2
Kabupaten Jombang,20.650542562272044,29.725544377161704,24.45088761137989,74.26478360284263,3.254070191339659,8.250620265688122,4.441479723415378,106.91437199955622,1.903875674012344,N ,1258618.0,626207.0,632411.0,26083.0,48292.75,6131.0,655270.0,97.35,0.506415372221137,2,7,2018,2
Kabupaten Jombang,20.397806392852903,29.727198322978936,24.375661229517693,72.98888210672102,9.504011627701116,7.900926624713197,4.269292010649956,91.69582369768796,2.107509141926078,N ,1258618.0,626207.0,632411.0,26083.0,48641.73611111111,6099.777777777777,655270.0,97.35,0.4797479963730176,2,8,2018,2
Kabupaten Jombang,21.285850868942447,30.96512463462956,25.82213951646204,68.98602819806914,6.332122813307047,7.846876316551798,4.764195438193815,78.5215820611921,2.144108250214103,N ,1258618.0,626207.0,632411.0,26083.0,48990.72222222222,6068.555555555556,655270.0,97.35,0.4539408584554827,2,9,2018,2
Kabupaten Jombang,22.209858815107804,32.018555570048186,27.214994758655514,69.10850439882704,12.159635853886398,8.593099556899395,4.730449402420447,111.50733137829916,1.9793759005879623,N ,1258618.0,626207.0,632411.0,26083.0,49339.708333333336,6037.333333333333,655270.0,97.35,0.4272734826073634,2,10,2018,2
Kabupaten Jombang,23.02010046890408,31.36373013427989,26.98104369382149,77.85423734375146,204.05454545454552,6.247691682690958,4.04141269221948,132.07809292575183,1.495329970219805,N ,1258618.0,626207.0,632411.0,26083.0,49688.694444444445,6006.111111111111,655270.0,97.35,0.4014663446898285,1,11,2018,2
Kabupaten Jombang,22.832243385706267,29.808473514574967,25.877672165741508,83.81400735992173,430.906873947781,3.8917652195141086,3.413263355111793,137.607936593934,1.518898165223415,N ,1258618.0,626207.0,632411.0,26083.0,50037.68055555556,5974.888888888889,655270.0,97.35,0.3747989688417092,1,12,2018,2
Kabupaten Jombang,22.482282156183693,29.38865215606962,25.37188361345351,84.99796147351996,409.4,4.049142330341256,4.326960510995898,161.86335955751383,1.6540689132738104,N ,1263814.0,628799.0,635015.0,26083.0,50386.66666666666,5943.666666666667,670678.0,94.01,0.5022446801360464,2,1,2019,2
Kabupaten Jombang,22.09619331257121,29.71251065247489,25.314498062948843,85.41344300879832,431.17870020357486,5.1702231665793885,3.697266726402881,121.33116883116878,1.2627691685040567,N ,1263814.0,628799.0,635015.0,26083.0,50735.65277777778,5912.444444444444,670678.0,94.01,0.4283470614208172,2,2,2019,2
Kabupaten Jombang,22.13111138230517,29.50685618507332,25.04603974060997,85.9147331630306,421.0358395314504,4.3983163177847535,3.745497608730428,151.80938416422288,1.4572467177833934,N ,1263814.0,628799.0,635015.0,26083.0,51084.63888888889,5881.222222222223,670678.0,94.01,0.4505140271829164,2,3,2019,2
Kabupaten Jombang,22.747564061812923,30.074777834375897,25.82087069852876,84.61670872149135,261.5132827127833,5.787723095546019,3.6293472171596126,103.94306163977804,1.407540126438528,N ,1263814.0,628799.0,635015.0,26083.0,51433.625,5850.0,670678.0,94.01,0.3056604357064279,1,4,2019,1
Kabupaten Jombang,22.41895652099309,30.534361301584568,26.12940554899185,78.08968592593075,61.00997624976353,8.249744897550821,4.051173185052994,79.6911005552571,1.6495614250512125,N ,1263814.0,628799.0,635015.0,26083.0,51782.61111111111,5818.777777777777,670678.0,94.01,0.4183337320768756,1,5,2019,1
Kabupaten Jombang,21.042497076543626,30.01108305968881,24.84254026276131,75.55048259901127,5.945454545454547,7.662674207359752,3.7516159305018495,93.94982952640356,1.7022016230248105,N ,1263814.0,628799.0,635015.0,26083.0,52131.59722222222,5787.555555555556,670678.0,94.01,0.5184338896695927,2,6,2019,2
Kabupaten Jombang,20.24055674204644,29.852832693246555,24.24061908337697,74.61711888692506,12.96363636363636,8.49820010527421,4.570257219523768,99.55335471154676,1.862436278838806,N ,1263814.0,628799.0,635015.0,26083.0,52480.58333333333,5756.333333333333,670678.0,94.01,0.3768415424251956,1,7,2019,1
Kabupaten Jombang,20.208563268387213,29.66604457918928,24.473935237061287,72.77787541266818,0.7958206297359829,9.14042863822403,4.437174068639925,99.8152983594182,2.260673141540326,N ,1263814.0,628799.0,635015.0,26083.0,52829.569444444445,5725.111111111111,670678.0,94.01,0.4144539421511485,1,8,2019,1
Kabupaten Jombang,20.828622489708994,30.64359757182033,25.3783267679917,70.68441673389869,-0.2223996980832666,8.849698613072803,4.887599315559299,89.68377444621957,2.3128979846931204,N ,1263814.0,628799.0,635015.0,26083.0,53178.55555555556,5693.888888888889,670678.0,94.01,0.3650240437052642,1,9,2019,1
Kabupaten Jombang,21.752629211156947,32.44030094807381,27.20562162122708,66.17378162178932,0.738072329443168,9.144891185171504,5.246689322630077,107.53079178885638,2.4578723265218163,E ,1263814.0,628799.0,635015.0,26083.0,53527.54166666666,5662.666666666667,670678.0,94.01,0.3764049086813243,1,10,2019,1
Kabupaten Jombang,22.810820532183325,32.75667224168818,27.92850517545764,70.8757575757576,59.95236528530231,8.307933936595761,4.308317891534539,111.5378066796373,1.7350015258304017,E ,1263814.0,628799.0,635015.0,26083.0,53876.52777777778,5631.444444444444,670678.0,94.01,0.3217139828514496,1,11,2019,1
Kabupaten Jombang,22.925471417356786,31.46383021193728,26.856985320776094,78.48648954149772,254.2400892327618,6.3815740983500415,3.852924643627956,137.3828682071885,1.450308995234729,N ,1263814.0,628799.0,635015.0,26083.0,54225.51388888889,5600.222222222223,670678.0,94.01,0.2465315686886851,1,12,2019,1
Kabupaten Jombang,22.721958030689507,29.77167510092379,25.873588126637944,83.80478242374764,368.2201798718871,4.512757087133856,3.9599771884482906,175.65395894428144,1.4691885120547468,N ,1318062.0,664605.0,653457.0,26083.0,54574.5,5569.0,645121.0,99.37,0.2747615132276789,1,1,2020,1
Kabupaten Jombang,22.56245980044286,29.40805619884754,25.23708004315469,86.7728717571737,531.2744918956159,4.529205245407833,3.8529188467306223,173.07819619530855,1.3213649837166246,N ,1318062.0,664605.0,653457.0,26083.0,54923.48611111111,5537.777777777777,645121.0,99.37,0.2785081156537062,1,2,2020,1
Kabupaten Jombang,22.8105495492958,29.948439371751828,25.815343057154173,84.71306044349457,335.74557999043907,5.158235519372688,3.2797811670612296,143.26099706744867,1.2671075616013756,N ,1318062.0,664605.0,653457.0,26083.0,55272.47222222222,5506.555555555556,645121.0,99.37,0.3350378232065972,1,3,2020,1
Kabupaten Jombang,22.75701639831257,30.075150315587027,25.99318894485745,83.55721216815145,259.3047003945167,5.911714020992212,3.436844635661795,112.60606060606064,1.274233845153708,N ,1318062.0,664605.0,653457.0,26083.0,55621.45833333333,5475.333333333333,645121.0,99.37,0.4308827866314255,2,4,2020,2
Kabupaten Jombang,22.794748110995982,30.010379098545464,25.997674307574822,82.9783136277846,282.87190871655014,6.235450686264706,3.861011749579823,97.75739640252728,1.5180496414244145,N ,1318062.0,664605.0,653457.0,26083.0,55970.444444444445,5444.111111111111,645121.0,99.37,0.3893267469286048,1,5,2020,1
Kabupaten Jombang,21.88221472117809,29.655064193623424,25.34903273410704,78.76718410655651,34.590909090909065,7.385848346719464,4.352982606609524,110.62424242424234,1.854330946027056,N ,1318062.0,664605.0,653457.0,26083.0,56319.43055555556,5412.888888888889,645121.0,99.37,0.5037468825645964,2,6,2020,2
Kabupaten Jombang,21.300799945566723,29.435468966067884,24.845395805992062,76.51499375198547,16.86374359718702,8.00811877887755,4.261312659561297,97.91495068359656,2.015459322114036,N ,1318062.0,664605.0,653457.0,26083.0,56668.41666666666,5381.666666666667,645121.0,99.37,0.4126197519995667,1,7,2020,1
Kabupaten Jombang,21.066508770867163,29.881518217502386,25.282478968177664,75.29122672396885,41.459411587008205,8.371738727071262,4.488564161205157,100.43461133169998,2.236821936714433,N ,1318062.0,664605.0,653457.0,26083.0,57017.40277777778,5350.444444444444,645121.0,99.37,0.4099483619247833,1,8,2020,1
Kabupaten Jombang,22.08719368706513,31.16559116510683,27.298267667017853,70.28694649450209,3.086609520554166,8.357786616975327,5.058785294031429,95.4848187763771,2.2566274102500774,E ,1318062.0,664605.0,653457.0,26083.0,57366.38888888889,5319.222222222223,645121.0,99.37,0.3628356764395229,1,9,2020,1
Kabupaten Jombang,22.673218449034728,30.997678418405783,26.571127081950934,75.59105278991638,76.55585063039284,6.458852909317007,4.919284432650857,100.86699490115714,2.0176495305101163,N ,1318062.0,664605.0,653457.0,26083.0,57715.375,5288.0,645121.0,99.37,0.2257548013932239,1,10,2020,1
Kabupaten Jombang,22.809352959858643,30.62128664354813,26.593818947908368,78.67948693740493,279.3644779936949,6.043492553161954,4.3080218876297405,119.7939393939394,1.70487261044019,N ,1318062.0,664605.0,653457.0,26083.0,58064.36111111111,5256.777777777777,645121.0,99.37,0.3720273046317897,1,11,2020,1
Kabupaten Jombang,22.144210836571617,28.550897961201866,24.92996704450451,86.78504695139871,523.4283659770547,3.026306838460106,4.220405171662145,165.264243479982,1.4819527305511953,E ,1318062.0,664605.0,653457.0,26083.0,58413.34722222222,5225.555555555556,645121.0,99.37,0.3341109007452464,1,12,2020,1
Kabupaten Jombang,21.962212626857696,28.40162778883729,24.62218252846045,87.64741766415696,585.1496297838083,2.4067294535822907,4.167661351956202,175.8067209879685,1.6059486458047292,E ,1325914.0,668443.0,657471.0,25242.05,58762.33333333333,5194.333333333334,656153.0,99.44,0.5550167171395354,2,1,2021,1
Kabupaten Jombang,22.21543929473605,28.39268920302574,24.81246762589673,86.16916823345231,514.4077283438762,3.750562685280896,4.699426640535388,198.3392854727518,2.0241976772681936,N ,1325914.0,668443.0,657471.0,25242.05,59111.31944444444,5163.111111111111,656153.0,99.44,0.2188667836953986,1,2,2021,1
Kabupaten Jombang,22.065282468771528,29.38091435672587,25.20414933553144,85.1020420372387,366.68445671876594,4.7344256178915725,3.898846631413248,165.9706744868035,1.3624866922963657,N ,1325914.0,668443.0,657471.0,25242.05,59460.30555555556,5131.888888888889,656153.0,99.44,0.571357125131144,2,3,2021,2
Kabupaten Jombang,22.02917428721425,29.89595284941856,25.79176673581652,80.27621055727523,167.3432269962604,6.747490118349018,4.015680583982324,155.53067144362308,1.6015624874636143,N ,1325914.0,668443.0,657471.0,25242.05,59809.29166666666,5100.666666666667,656153.0,99.44,0.3323190167048886,1,4,2021,1
Kabupaten Jombang,22.611727529054008,30.05092013888468,26.08214209662365,80.0683855281218,91.90909098063467,6.894192625890674,4.227600412153645,106.43433347926609,1.7293945068940777,N ,1325914.0,668443.0,657471.0,25242.05,60158.27777777778,5069.444444444444,656153.0,99.44,0.2132172902380293,1,5,2021,1
Kabupaten Jombang,22.03123520664912,29.602353053188047,25.38324598405212,82.25269048208645,136.58452831976228,6.579382748368457,4.270141431533527,97.93719988812826,1.5984605230994693,E ,1325914.0,668443.0,657471.0,25242.05,60507.26388888889,5038.222222222223,656153.0,99.44,0.3743358326339617,1,6,2021,1
Kabupaten Jombang,20.99075456187041,29.699185477930257,25.02750009058893,75.53958944281526,17.63112301190668,7.676849864625771,3.984376748501225,111.89140843217577,1.9591507734434508,N ,1325914.0,668443.0,657471.0,25242.05,60856.25,5007.0,656153.0,99.44,0.471416909724213,2,7,2021,2
Kabupaten Jombang,21.51285840342284,30.300285629012148,25.583794159119,75.7516946729004,23.634464482145148,8.267123687355602,4.86303239627164,114.64647068299782,2.1919529105375406,N ,1325914.0,668443.0,657471.0,25242.05,61205.23611111111,4975.777777777777,656153.0,99.44,0.4302989493740896,2,8,2021,2
